area_fips,industry_code,year,qtr,area_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl
29011,10,2023,1,"Barton County, Missouri",291,2809,2829,2841
29013,10,2023,1,"Bates County, Missouri",458,3602,3608,3638
29013,10,2023,1,"Bates County, Missouri",11,48,51,54
29013,10,2023,1,"Bates County, Missouri",7,46,46,45
29013,10,2023,1,"Bates County, Missouri",51,1011,992,992
29013,10,2023,1,"Bates County, Missouri",389,2497,2519,2547
29021,10,2023,1,"Buchanan County, Missouri",2614,44861,45068,45151
29021,10,2023,1,"Buchanan County, Missouri",16,412,426,421
29021,10,2023,1,"Buchanan County, Missouri",28,1912,2002,1997
29021,10,2023,1,"Buchanan County, Missouri",69,3096,3060,3101
29021,10,2023,1,"Buchanan County, Missouri",2501,39441,39580,39632
29037,10,2023,1,"Cass County, Missouri",2550,28900,29071,29377
29037,10,2023,1,"Cass County, Missouri",23,362,362,362
29037,10,2023,1,"Cass County, Missouri",10,178,180,175
29037,10,2023,1,"Cass County, Missouri",124,4548,4553,4541
29037,10,2023,1,"Cass County, Missouri",2393,23812,23976,24299
29039,10,2023,1,"Cedar County, Missouri",387,3211,3210,3214
29039,10,2023,1,"Cedar County, Missouri",7,70,66,62
29039,10,2023,1,"Cedar County, Missouri",8,226,225,228
29039,10,2023,1,"Cedar County, Missouri",26,686,696,694
29039,10,2023,1,"Cedar County, Missouri",346,2229,2223,2230
29047,10,2023,1,"Clay County, Missouri",6664,107951,107401,108678
29047,10,2023,1,"Clay County, Missouri",30,1496,1483,1487
29047,10,2023,1,"Clay County, Missouri",17,538,547,555
29047,10,2023,1,"Clay County, Missouri",209,14271,14391,14427
29047,10,2023,1,"Clay County, Missouri",6408,91646,90980,92209
29095,10,2023,1,"Jackson County, Missouri",25247,364161,366073,368279
29095,10,2023,1,"Jackson County, Missouri",88,15987,16122,16023
29095,10,2023,1,"Jackson County, Missouri",40,5497,5948,5968
29095,10,2023,1,"Jackson County, Missouri",425,33031,33398,33383
29095,10,2023,1,"Jackson County, Missouri",24694,309646,310605,312905
29097,10,2023,1,"Jasper County, Missouri",3547,58251,58364,58549
29097,10,2023,1,"Jasper County, Missouri",25,274,272,275
29097,10,2023,1,"Jasper County, Missouri",21,943,1032,1058
29097,10,2023,1,"Jasper County, Missouri",116,5348,5403,5463
29097,10,2023,1,"Jasper County, Missouri",3385,51686,51657,51753
29145,10,2023,1,"Newton County, Missouri",1563,21005,21173,21342
29145,10,2023,1,"Newton County, Missouri",17,128,137,139
29145,10,2023,1,"Newton County, Missouri",8,107,109,108
29145,10,2023,1,"Newton County, Missouri",65,2366,2524,2571
29145,10,2023,1,"Newton County, Missouri",1473,18404,18403,18524
29165,10,2023,1,"Platte County, Missouri",3137,46243,46568,46696
29165,10,2023,1,"Platte County, Missouri",26,689,690,693
29165,10,2023,1,"Platte County, Missouri",9,62,62,66
29165,10,2023,1,"Platte County, Missouri",85,4310,4381,4388
29165,10,2023,1,"Platte County, Missouri",3017,41182,41435,41549
29217,10,2023,1,"Vernon County, Missouri",715,6616,6539,6569
29217,10,2023,1,"Vernon County, Missouri",17,88,80,86
29217,10,2023,1,"Vernon County, Missouri",16,149,149,149
29217,10,2023,1,"Vernon County, Missouri",61,1251,1248,1260
29217,10,2023,1,"Vernon County, Missouri",621,5128,5062,5074
20005,10,2022,1,"Atchison County, Kansas",402,5371,5367,5357
20005,10,2022,2,"Atchison County, Kansas",409,5360,5439,5383
20005,10,2022,3,"Atchison County, Kansas",409,5206,5342,5466
20005,10,2022,4,"Atchison County, Kansas",423,5516,5493,5465
20005,10,2022,1,"Atchison County, Kansas",9,43,44,43
20005,10,2022,2,"Atchison County, Kansas",9,46,45,45
20005,10,2022,3,"Atchison County, Kansas",9,44,48,49
20005,10,2022,4,"Atchison County, Kansas",9,48,49,51
20005,10,2022,1,"Atchison County, Kansas",12,53,51,53
20005,10,2022,2,"Atchison County, Kansas",12,52,53,56
20005,10,2022,3,"Atchison County, Kansas",12,57,55,54
20005,10,2022,4,"Atchison County, Kansas",12,53,55,52
20005,10,2022,1,"Atchison County, Kansas",26,803,802,785
20005,10,2022,2,"Atchison County, Kansas",26,831,835,859
20005,10,2022,3,"Atchison County, Kansas",26,662,647,810
20005,10,2022,4,"Atchison County, Kansas",25,805,814,796
20005,10,2022,1,"Atchison County, Kansas",355,4472,4470,4476
20005,10,2022,2,"Atchison County, Kansas",362,4431,4506,4423
20005,10,2022,3,"Atchison County, Kansas",362,4443,4592,4553
20005,10,2022,4,"Atchison County, Kansas",377,4610,4575,4566
20013,10,2022,1,"Brown County, Kansas",331,4723,4713,4749
20013,10,2022,2,"Brown County, Kansas",339,4870,4899,4976
20013,10,2022,3,"Brown County, Kansas",340,4897,4886,4951
20013,10,2022,4,"Brown County, Kansas",335,4841,4851,4840
20013,10,2022,1,"Brown County, Kansas",12,53,54,55
20013,10,2022,2,"Brown County, Kansas",13,53,53,57
20013,10,2022,3,"Brown County, Kansas",12,56,58,61
20013,10,2022,4,"Brown County, Kansas",12,56,60,60
20013,10,2022,1,"Brown County, Kansas",7,56,53,56
20013,10,2022,2,"Brown County, Kansas",7,56,55,57
20013,10,2022,3,"Brown County, Kansas",7,59,58,56
20013,10,2022,4,"Brown County, Kansas",7,55,55,53
20013,10,2022,1,"Brown County, Kansas",38,1287,1273,1270
20013,10,2022,2,"Brown County, Kansas",38,1300,1302,1323
20013,10,2022,3,"Brown County, Kansas",37,1210,1202,1286
20013,10,2022,4,"Brown County, Kansas",38,1273,1291,1272
20013,10,2022,1,"Brown County, Kansas",274,3327,3333,3368
20013,10,2022,2,"Brown County, Kansas",281,3461,3489,3539
20013,10,2022,3,"Brown County, Kansas",284,3572,3568,3548
20013,10,2022,4,"Brown County, Kansas",278,3457,3445,3455
20021,10,2022,1,"Cherokee County, Kansas",389,5478,5456,5472
20021,10,2022,2,"Cherokee County, Kansas",396,5608,5635,5575
20021,10,2022,3,"Cherokee County, Kansas",396,5501,5587,5548
20021,10,2022,4,"Cherokee County, Kansas",401,5689,5820,5543
20021,10,2022,1,"Cherokee County, Kansas",11,52,50,57
20021,10,2022,2,"Cherokee County, Kansas",11,53,55,52
20021,10,2022,3,"Cherokee County, Kansas",11,53,55,58
20021,10,2022,4,"Cherokee County, Kansas",11,56,56,57
20021,10,2022,1,"Cherokee County, Kansas",7,46,50,49
20021,10,2022,2,"Cherokee County, Kansas",7,49,50,48
20021,10,2022,3,"Cherokee County, Kansas",8,46,45,49
20021,10,2022,4,"Cherokee County, Kansas",7,44,44,45
20021,10,2022,1,"Cherokee County, Kansas",28,1045,1046,1023
20021,10,2022,2,"Cherokee County, Kansas",28,1075,1072,1011
20021,10,2022,3,"Cherokee County, Kansas",28,981,1052,1048
20021,10,2022,4,"Cherokee County, Kansas",29,1116,1184,916
20021,10,2022,1,"Cherokee County, Kansas",343,4335,4310,4343
20021,10,2022,2,"Cherokee County, Kansas",350,4431,4458,4464
20021,10,2022,3,"Cherokee County, Kansas",349,4421,4435,4393
20021,10,2022,4,"Cherokee County, Kansas",354,4473,4536,4525
20037,10,2022,1,"Crawford County, Kansas",981,16978,17085,17109
20037,10,2022,2,"Crawford County, Kansas",998,17329,17418,17169
20037,10,2022,3,"Crawford County, Kansas",1011,16904,16927,17268
20037,10,2022,4,"Crawford County, Kansas",1041,17811,18047,17985
20037,10,2022,1,"Crawford County, Kansas",16,86,84,86
20037,10,2022,2,"Crawford County, Kansas",16,85,88,84
20037,10,2022,3,"Crawford County, Kansas",16,82,83,87
20037,10,2022,4,"Crawford County, Kansas",15,87,86,87
20037,10,2022,1,"Crawford County, Kansas",19,1135,1068,1078
20037,10,2022,2,"Crawford County, Kansas",19,1050,1063,1080
20037,10,2022,3,"Crawford County, Kansas",19,1068,1027,1028
20037,10,2022,4,"Crawford County, Kansas",19,1137,1136,1036
20037,10,2022,1,"Crawford County, Kansas",36,3017,3039,3027
20037,10,2022,2,"Crawford County, Kansas",36,3090,3137,3128
20037,10,2022,3,"Crawford County, Kansas",36,2847,2825,2949
20037,10,2022,4,"Crawford County, Kansas",38,3047,3069,3046
20037,10,2022,1,"Crawford County, Kansas",910,12740,12894,12918
20037,10,2022,2,"Crawford County, Kansas",927,13104,13130,12877
20037,10,2022,3,"Crawford County, Kansas",940,12907,12992,13204
20037,10,2022,4,"Crawford County, Kansas",969,13540,13756,13816
20043,10,2022,1,"Doniphan County, Kansas",200,2298,2336,2432
20043,10,2022,2,"Doniphan County, Kansas",208,2372,2466,2316
20043,10,2022,3,"Doniphan County, Kansas",209,2206,2175,2299
20043,10,2022,4,"Doniphan County, Kansas",212,2570,2488,2590
20043,10,2022,1,"Doniphan County, Kansas",9,23,26,26
20043,10,2022,2,"Doniphan County, Kansas",10,30,30,27
20043,10,2022,3,"Doniphan County, Kansas",10,27,28,25
20043,10,2022,4,"Doniphan County, Kansas",10,30,24,27
20043,10,2022,1,"Doniphan County, Kansas",4,13,13,13
20043,10,2022,2,"Doniphan County, Kansas",4,14,14,14
20043,10,2022,3,"Doniphan County, Kansas",4,14,14,14
20043,10,2022,4,"Doniphan County, Kansas",4,13,13,13
20043,10,2022,1,"Doniphan County, Kansas",22,797,823,902
20043,10,2022,2,"Doniphan County, Kansas",22,812,917,778
20043,10,2022,3,"Doniphan County, Kansas",22,709,618,733
20043,10,2022,4,"Doniphan County, Kansas",23,850,786,879
20043,10,2022,1,"Doniphan County, Kansas",165,1465,1474,1491
20043,10,2022,2,"Doniphan County, Kansas",172,1516,1505,1497
20043,10,2022,3,"Doniphan County, Kansas",173,1456,1515,1527
20043,10,2022,4,"Doniphan County, Kansas",175,1677,1665,1671
20091,10,2022,1,"Johnson County, Kansas",25768,349086,352478,351521
20091,10,2022,2,"Johnson County, Kansas",26291,355390,356866,354974
20091,10,2022,3,"Johnson County, Kansas",26745,363645,363982,359830
20091,10,2022,4,"Johnson County, Kansas",28080,366777,368866,370156
20091,10,2022,1,"Johnson County, Kansas",44,2588,2636,2638
20091,10,2022,2,"Johnson County, Kansas",45,2674,2682,2777
20091,10,2022,3,"Johnson County, Kansas",45,2848,2904,2931
20091,10,2022,4,"Johnson County, Kansas",45,2961,2958,2922
20091,10,2022,1,"Johnson County, Kansas",28,1303,1301,1299
20091,10,2022,2,"Johnson County, Kansas",27,1295,1288,1280
20091,10,2022,3,"Johnson County, Kansas",28,1242,1271,1265
20091,10,2022,4,"Johnson County, Kansas",29,1264,1257,1234
20091,10,2022,1,"Johnson County, Kansas",51,26613,27299,27318
20091,10,2022,2,"Johnson County, Kansas",51,27572,28166,27401
20091,10,2022,3,"Johnson County, Kansas",50,26330,26997,27876
20091,10,2022,4,"Johnson County, Kansas",48,27131,27304,27684
20091,10,2022,1,"Johnson County, Kansas",25645,318582,321242,320266
20091,10,2022,2,"Johnson County, Kansas",26168,323849,324730,323516
20091,10,2022,3,"Johnson County, Kansas",26622,333225,332810,327758
20091,10,2022,4,"Johnson County, Kansas",27958,335421,337347,338316
20103,10,2022,1,"Leavenworth County, Kansas",1492,20347,20423,20427
20103,10,2022,2,"Leavenworth County, Kansas",1507,20835,20888,20711
20103,10,2022,3,"Leavenworth County, Kansas",1544,20708,20802,21214
20103,10,2022,4,"Leavenworth County, Kansas",1587,21580,21394,20926
20103,10,2022,1,"Leavenworth County, Kansas",36,4151,4133,4132
20103,10,2022,2,"Leavenworth County, Kansas",36,4142,4140,4123
20103,10,2022,3,"Leavenworth County, Kansas",36,4169,4160,4161
20103,10,2022,4,"Leavenworth County, Kansas",36,4141,4160,4165
20103,10,2022,1,"Leavenworth County, Kansas",16,445,454,444
20103,10,2022,2,"Leavenworth County, Kansas",16,450,453,444
20103,10,2022,3,"Leavenworth County, Kansas",17,451,454,454
20103,10,2022,4,"Leavenworth County, Kansas",16,459,458,450
20103,10,2022,1,"Leavenworth County, Kansas",31,3427,3443,3427
20103,10,2022,2,"Leavenworth County, Kansas",31,3421,3453,3301
20103,10,2022,3,"Leavenworth County, Kansas",31,3050,3195,3381
20103,10,2022,4,"Leavenworth County, Kansas",31,3437,3468,3162
20103,10,2022,1,"Leavenworth County, Kansas",1409,12324,12393,12424
20103,10,2022,2,"Leavenworth County, Kansas",1424,12822,12842,12843
20103,10,2022,3,"Leavenworth County, Kansas",1460,13038,12993,13218
20103,10,2022,4,"Leavenworth County, Kansas",1504,13543,13308,13149
20107,10,2022,1,"Linn County, Kansas",254,2026,2008,2042
20107,10,2022,2,"Linn County, Kansas",257,2061,2099,2110
20107,10,2022,3,"Linn County, Kansas",251,2140,2052,2061
20107,10,2022,4,"Linn County, Kansas",257,2136,2115,2119
20107,10,2022,1,"Linn County, Kansas",9,41,38,40
20107,10,2022,2,"Linn County, Kansas",10,42,47,43
20107,10,2022,3,"Linn County, Kansas",10,43,42,41
20107,10,2022,4,"Linn County, Kansas",9,46,40,40
20107,10,2022,1,"Linn County, Kansas",6,24,25,25
20107,10,2022,2,"Linn County, Kansas",6,28,26,32
20107,10,2022,3,"Linn County, Kansas",6,31,31,31
20107,10,2022,4,"Linn County, Kansas",6,32,30,28
20107,10,2022,1,"Linn County, Kansas",26,710,693,712
20107,10,2022,2,"Linn County, Kansas",26,709,727,750
20107,10,2022,3,"Linn County, Kansas",26,723,661,705
20107,10,2022,4,"Linn County, Kansas",27,745,753,744
20107,10,2022,1,"Linn County, Kansas",213,1251,1252,1265
20107,10,2022,2,"Linn County, Kansas",215,1282,1299,1285
20107,10,2022,3,"Linn County, Kansas",209,1343,1318,1284
20107,10,2022,4,"Linn County, Kansas",215,1313,1292,1307
20121,10,2022,1,"Miami County, Kansas",835,8208,8278,8267
20121,10,2022,2,"Miami County, Kansas",848,8492,8550,8502
20121,10,2022,3,"Miami County, Kansas",863,8513,8575,8583
20121,10,2022,4,"Miami County, Kansas",899,8838,8868,8721
20121,10,2022,1,"Miami County, Kansas",12,70,67,67
20121,10,2022,2,"Miami County, Kansas",12,69,66,73
20121,10,2022,3,"Miami County, Kansas",12,74,74,74
20121,10,2022,4,"Miami County, Kansas",12,68,68,72
20121,10,2022,1,"Miami County, Kansas",12,416,419,415
20121,10,2022,2,"Miami County, Kansas",13,425,432,427
20121,10,2022,3,"Miami County, Kansas",13,445,435,437
20121,10,2022,4,"Miami County, Kansas",11,426,423,411
20121,10,2022,1,"Miami County, Kansas",17,1694,1718,1697
20121,10,2022,2,"Miami County, Kansas",17,1726,1738,1772
20121,10,2022,3,"Miami County, Kansas",17,1543,1616,1686
20121,10,2022,4,"Miami County, Kansas",18,1770,1817,1758
20121,10,2022,1,"Miami County, Kansas",794,6028,6074,6088
20121,10,2022,2,"Miami County, Kansas",806,6272,6314,6230
20121,10,2022,3,"Miami County, Kansas",821,6451,6450,6386
20121,10,2022,4,"Miami County, Kansas",858,6574,6560,6480
20209,10,2022,1,"Wyandotte County, Kansas",3517,88073,88627,88993
20209,10,2022,2,"Wyandotte County, Kansas",3578,89331,89616,88745
20209,10,2022,3,"Wyandotte County, Kansas",3627,90435,90892,91885
20209,10,2022,4,"Wyandotte County, Kansas",3739,92426,92814,93033
20209,10,2022,1,"Wyandotte County, Kansas",29,1319,1295,1307
20209,10,2022,2,"Wyandotte County, Kansas",29,1313,1290,1287
20209,10,2022,3,"Wyandotte County, Kansas",29,1323,1273,1292
20209,10,2022,4,"Wyandotte County, Kansas",29,1320,1327,1327
20209,10,2022,1,"Wyandotte County, Kansas",18,4126,4114,4074
20209,10,2022,2,"Wyandotte County, Kansas",19,4135,4135,4143
20209,10,2022,3,"Wyandotte County, Kansas",19,4192,4215,4240
20209,10,2022,4,"Wyandotte County, Kansas",20,4251,4284,4223
20209,10,2022,1,"Wyandotte County, Kansas",19,9008,9013,9150
20209,10,2022,2,"Wyandotte County, Kansas",19,8678,8718,8648
20209,10,2022,3,"Wyandotte County, Kansas",19,8737,8719,9168
20209,10,2022,4,"Wyandotte County, Kansas",19,9229,9262,9229
20209,10,2022,1,"Wyandotte County, Kansas",3451,73620,74205,74462
20209,10,2022,2,"Wyandotte County, Kansas",3511,75205,75473,74667
20209,10,2022,3,"Wyandotte County, Kansas",3560,76183,76685,77185
20209,10,2022,4,"Wyandotte County, Kansas",3671,77626,77941,78254
29003,10,2022,1,"Andrew County, Missouri",529,2601,2659,2706
29003,10,2022,2,"Andrew County, Missouri",529,2803,2805,2893
29003,10,2022,3,"Andrew County, Missouri",534,2564,2762,2797
29003,10,2022,4,"Andrew County, Missouri",536,2825,2780,2760
29003,10,2022,1,"Andrew County, Missouri",10,32,32,31
29003,10,2022,2,"Andrew County, Missouri",10,33,33,30
29003,10,2022,3,"Andrew County, Missouri",10,34,34,35
29003,10,2022,4,"Andrew County, Missouri",10,33,33,35
29003,10,2022,1,"Andrew County, Missouri",5,28,28,26
29003,10,2022,2,"Andrew County, Missouri",5,27,25,24
29003,10,2022,3,"Andrew County, Missouri",5,23,24,23
29003,10,2022,4,"Andrew County, Missouri",5,23,22,25
29003,10,2022,1,"Andrew County, Missouri",40,607,643,666
29003,10,2022,2,"Andrew County, Missouri",40,661,657,682
29003,10,2022,3,"Andrew County, Missouri",40,383,619,638
29003,10,2022,4,"Andrew County, Missouri",40,674,641,623
29003,10,2022,1,"Andrew County, Missouri",474,1934,1956,1983
29003,10,2022,2,"Andrew County, Missouri",474,2082,2090,2157
29003,10,2022,3,"Andrew County, Missouri",479,2124,2085,2101
29003,10,2022,4,"Andrew County, Missouri",481,2095,2084,2077
29011,10,2022,1,"Barton County, Missouri",326,3362,3325,3363
29011,10,2022,2,"Barton County, Missouri",329,3417,3456,3464
29011,10,2022,3,"Barton County, Missouri",329,3349,3367,3488
29011,10,2022,4,"Barton County, Missouri",331,3524,3523,3493
29011,10,2022,1,"Barton County, Missouri",7,44,39,44
29011,10,2022,2,"Barton County, Missouri",7,41,41,38
29011,10,2022,3,"Barton County, Missouri",7,43,40,39
29011,10,2022,4,"Barton County, Missouri",7,35,35,21
29011,10,2022,1,"Barton County, Missouri",5,45,45,46
29011,10,2022,2,"Barton County, Missouri",5,46,48,47
29011,10,2022,3,"Barton County, Missouri",5,49,52,50
29011,10,2022,4,"Barton County, Missouri",5,49,51,53
29011,10,2022,1,"Barton County, Missouri",31,553,555,542
29011,10,2022,2,"Barton County, Missouri",31,555,545,529
29011,10,2022,3,"Barton County, Missouri",30,431,442,558
29011,10,2022,4,"Barton County, Missouri",30,587,582,576
29011,10,2022,1,"Barton County, Missouri",283,2720,2686,2731
29011,10,2022,2,"Barton County, Missouri",286,2775,2822,2850
29011,10,2022,3,"Barton County, Missouri",287,2826,2833,2841
29011,10,2022,4,"Barton County, Missouri",289,2853,2855,2843
29013,10,2022,1,"Bates County, Missouri",450,3591,3613,3601
29013,10,2022,2,"Bates County, Missouri",457,3654,3752,3786
29013,10,2022,3,"Bates County, Missouri",457,3327,3414,3661
29013,10,2022,4,"Bates County, Missouri",458,3695,3672,3669
29013,10,2022,1,"Bates County, Missouri",11,57,59,53
29013,10,2022,2,"Bates County, Missouri",11,56,52,58
29013,10,2022,3,"Bates County, Missouri",11,55,51,57
29013,10,2022,4,"Bates County, Missouri",11,57,51,54
29013,10,2022,1,"Bates County, Missouri",6,47,44,43
29013,10,2022,2,"Bates County, Missouri",7,47,43,45
29013,10,2022,3,"Bates County, Missouri",7,46,47,46
29013,10,2022,4,"Bates County, Missouri",7,45,45,45
29013,10,2022,1,"Bates County, Missouri",50,1001,1010,1000
29013,10,2022,2,"Bates County, Missouri",50,1034,1085,1067
29013,10,2022,3,"Bates County, Missouri",50,643,693,1001
29013,10,2022,4,"Bates County, Missouri",50,1033,1035,1028
29013,10,2022,1,"Bates County, Missouri",383,2486,2500,2505
29013,10,2022,2,"Bates County, Missouri",389,2517,2572,2616
29013,10,2022,3,"Bates County, Missouri",389,2583,2623,2557
29013,10,2022,4,"Bates County, Missouri",390,2560,2541,2542
29021,10,2022,1,"Buchanan County, Missouri",2473,43912,44218,44146
29021,10,2022,2,"Buchanan County, Missouri",2500,44673,44650,44664
29021,10,2022,3,"Buchanan County, Missouri",2544,44535,44432,44732
29021,10,2022,4,"Buchanan County, Missouri",2567,45148,45111,45288
29021,10,2022,1,"Buchanan County, Missouri",17,429,426,422
29021,10,2022,2,"Buchanan County, Missouri",16,419,397,408
29021,10,2022,3,"Buchanan County, Missouri",16,405,409,417
29021,10,2022,4,"Buchanan County, Missouri",16,428,415,421
29021,10,2022,1,"Buchanan County, Missouri",28,1907,2014,2005
29021,10,2022,2,"Buchanan County, Missouri",28,1990,1994,1932
29021,10,2022,3,"Buchanan County, Missouri",28,1953,1978,2043
29021,10,2022,4,"Buchanan County, Missouri",28,2068,2069,1997
29021,10,2022,1,"Buchanan County, Missouri",70,2970,2942,2952
29021,10,2022,2,"Buchanan County, Missouri",70,2955,2954,2973
29021,10,2022,3,"Buchanan County, Missouri",69,2817,2796,2959
29021,10,2022,4,"Buchanan County, Missouri",69,3066,3059,3063
29021,10,2022,1,"Buchanan County, Missouri",2358,38606,38836,38767
29021,10,2022,2,"Buchanan County, Missouri",2386,39309,39305,39351
29021,10,2022,3,"Buchanan County, Missouri",2431,39360,39249,39313
29021,10,2022,4,"Buchanan County, Missouri",2454,39586,39568,39807
29037,10,2022,1,"Cass County, Missouri",2429,28824,29192,29297
29037,10,2022,2,"Cass County, Missouri",2478,29725,29814,29867
29037,10,2022,3,"Cass County, Missouri",2509,27443,28937,29937
29037,10,2022,4,"Cass County, Missouri",2519,30180,30017,29806
29037,10,2022,1,"Cass County, Missouri",22,278,313,308
29037,10,2022,2,"Cass County, Missouri",22,323,322,323
29037,10,2022,3,"Cass County, Missouri",22,355,355,355
29037,10,2022,4,"Cass County, Missouri",22,364,363,360
29037,10,2022,1,"Cass County, Missouri",10,171,173,175
29037,10,2022,2,"Cass County, Missouri",10,174,172,173
29037,10,2022,3,"Cass County, Missouri",10,174,172,173
29037,10,2022,4,"Cass County, Missouri",10,176,177,175
29037,10,2022,1,"Cass County, Missouri",122,4426,4448,4407
29037,10,2022,2,"Cass County, Missouri",122,4481,4485,4529
29037,10,2022,3,"Cass County, Missouri",122,2676,3777,4447
29037,10,2022,4,"Cass County, Missouri",123,4528,4539,4569
29037,10,2022,1,"Cass County, Missouri",2275,23949,24258,24407
29037,10,2022,2,"Cass County, Missouri",2324,24747,24835,24842
29037,10,2022,3,"Cass County, Missouri",2355,24238,24633,24962
29037,10,2022,4,"Cass County, Missouri",2364,25112,24938,24702
29039,10,2022,1,"Cedar County, Missouri",361,3121,3130,3149
29039,10,2022,2,"Cedar County, Missouri",366,3229,3267,3324
29039,10,2022,3,"Cedar County, Missouri",373,2966,3128,3209
29039,10,2022,4,"Cedar County, Missouri",374,3257,3222,3245
29039,10,2022,1,"Cedar County, Missouri",7,71,69,61
29039,10,2022,2,"Cedar County, Missouri",7,66,66,68
29039,10,2022,3,"Cedar County, Missouri",7,62,66,66
29039,10,2022,4,"Cedar County, Missouri",7,66,63,67
29039,10,2022,1,"Cedar County, Missouri",8,204,193,196
29039,10,2022,2,"Cedar County, Missouri",8,201,206,210
29039,10,2022,3,"Cedar County, Missouri",8,212,217,218
29039,10,2022,4,"Cedar County, Missouri",8,226,226,234
29039,10,2022,1,"Cedar County, Missouri",26,714,719,698
29039,10,2022,2,"Cedar County, Missouri",26,706,711,739
29039,10,2022,3,"Cedar County, Missouri",26,425,573,625
29039,10,2022,4,"Cedar County, Missouri",26,697,678,672
29039,10,2022,1,"Cedar County, Missouri",320,2132,2149,2194
29039,10,2022,2,"Cedar County, Missouri",325,2256,2284,2307
29039,10,2022,3,"Cedar County, Missouri",332,2267,2272,2300
29039,10,2022,4,"Cedar County, Missouri",333,2268,2255,2272
29047,10,2022,1,"Clay County, Missouri",6273,104657,104857,105710
29047,10,2022,2,"Clay County, Missouri",6384,106546,107188,108221
29047,10,2022,3,"Clay County, Missouri",6532,105939,106869,108896
