area_fips,year,qtr,ltd_total_qtrly_wages,ltd_taxable_qtrly_wages,ltd_qtrly_contributions,ltd_avg_wkly_wage,own_title,month,date,year_decimal,emplvl_limited,state,min_wage,all_total_qtrly_wages,all_taxable_qtrly_wages,all_qtrly_contributions,all_avg_wkly_wage,emplvl_all
20103,2011,4,1661551,669170,21481,236,Private,1,10/1/2011,2011.75,560,KS,7.25,111824321,12219945,502524,684,12657
20103,2011,4,1661551,669170,21481,236,Private,2,11/1/2011,2011.833333,543,KS,7.25,111824321,12219945,502524,684,12603
20103,2011,4,1661551,669170,21481,236,Private,3,12/1/2011,2011.916667,524,KS,7.25,111824321,12219945,502524,684,12495
20209,2011,1,5750561,5068972,156402,262,Private,1,1/1/2011,2011,1684,KS,7.25,667564342,403719346,17019788,809,63124
20209,2011,1,5750561,5068972,156402,262,Private,2,2/1/2011,2011.083333,1651,KS,7.25,667564342,403719346,17019788,809,63326
20209,2011,1,5750561,5068972,156402,262,Private,3,3/1/2011,2011.166667,1737,KS,7.25,667564342,403719346,17019788,809,63904
20209,2011,2,6106584,3970027,116576,268,Private,1,4/1/2011,2011.25,1749,KS,7.25,698340689,166330155,4371989,817,65037
20209,2011,2,6106584,3970027,116576,268,Private,2,5/1/2011,2011.333333,1756,KS,7.25,698340689,166330155,4371989,817,65859
20209,2011,2,6106584,3970027,116576,268,Private,3,6/1/2011,2011.416667,1760,KS,7.25,698340689,166330155,4371989,817,66276
20209,2011,3,6614133,2599139,76878,282,Private,1,7/1/2011,2011.5,1810,KS,7.25,737902017,140952015,3003971,849,66540
20209,2011,3,6614133,2599139,76878,282,Private,2,8/1/2011,2011.583333,1825,KS,7.25,737902017,140952015,3003971,849,67211
20209,2011,3,6614133,2599139,76878,282,Private,3,9/1/2011,2011.666667,1778,KS,7.25,737902017,140952015,3003971,849,66915
20209,2011,4,6281542,1830312,56187,279,Private,1,10/1/2011,2011.75,1754,KS,7.25,746398295,118403316,2444358,862,67085
20209,2011,4,6281542,1830312,56187,279,Private,2,11/1/2011,2011.833333,1733,KS,7.25,746398295,118403316,2444358,862,66883
20209,2011,4,6281542,1830312,56187,279,Private,3,12/1/2011,2011.916667,1717,KS,7.25,746398295,118403316,2444358,862,65742
29011,2011,1,481175,450320,3930,200,Private,1,1/1/2011,2011,190,MO,7.25,15191234,13118530,263646,476,2465
29011,2011,1,481175,450320,3930,200,Private,2,2/1/2011,2011.083333,181,MO,7.25,15191234,13118530,263646,476,2429
29011,2011,1,481175,450320,3930,200,Private,3,3/1/2011,2011.166667,185,MO,7.25,15191234,13118530,263646,476,2469
29011,2011,2,519024,483526,4165,180,Private,1,4/1/2011,2011.25,225,MO,7.25,15316793,9484685,199164,459,2524
29011,2011,2,519024,483526,4165,180,Private,2,5/1/2011,2011.333333,221,MO,7.25,15316793,9484685,199164,459,2547
29011,2011,2,519024,483526,4165,180,Private,3,6/1/2011,2011.416667,220,MO,7.25,15316793,9484685,199164,459,2627
29011,2011,3,558483,465093,3897,200,Private,1,7/1/2011,2011.5,221,MO,7.25,16420356,5364365,97999,495,2590
29011,2011,3,558483,465093,3897,200,Private,2,8/1/2011,2011.583333,213,MO,7.25,16420356,5364365,97999,495,2535
29011,2011,3,558483,465093,3897,200,Private,3,9/1/2011,2011.666667,212,MO,7.25,16420356,5364365,97999,495,2529
29011,2011,4,511440,339689,2871,193,Private,1,10/1/2011,2011.75,205,MO,7.25,15514132,2957171,51767,494,2456
29011,2011,4,511440,339689,2871,193,Private,2,11/1/2011,2011.833333,202,MO,7.25,15514132,2957171,51767,494,2441
29011,2011,4,511440,339689,2871,193,Private,3,12/1/2011,2011.916667,205,MO,7.25,15514132,2957171,51767,494,2355
29013,2011,1,312346,291346,2267,176,Private,1,1/1/2011,2011,140,MO,7.25,13130629,11378408,193861,431,2346
29013,2011,1,312346,291346,2267,176,Private,2,2/1/2011,2011.083333,133,MO,7.25,13130629,11378408,193861,431,2328
29013,2011,1,312346,291346,2267,176,Private,3,3/1/2011,2011.166667,136,MO,7.25,13130629,11378408,193861,431,2359
29013,2011,2,330726,306499,2367,168,Private,1,4/1/2011,2011.25,149,MO,7.25,14116960,7760995,145789,458,2356
29013,2011,2,330726,306499,2367,168,Private,2,5/1/2011,2011.333333,158,MO,7.25,14116960,7760995,145789,458,2379
29013,2011,2,330726,306499,2367,168,Private,3,6/1/2011,2011.416667,148,MO,7.25,14116960,7760995,145789,458,2381
29013,2011,3,377165,311827,2256,193,Private,1,7/1/2011,2011.5,153,MO,7.25,14252918,4492074,81604,478,2304
29013,2011,3,377165,311827,2256,193,Private,2,8/1/2011,2011.583333,154,MO,7.25,14252918,4492074,81604,478,2295
29013,2011,3,377165,311827,2256,193,Private,3,9/1/2011,2011.666667,144,MO,7.25,14252918,4492074,81604,478,2285
29013,2011,4,319764,226713,1695,172,Private,1,10/1/2011,2011.75,145,MO,7.25,15196541,3159071,54755,495,2334
29013,2011,4,319764,226713,1695,172,Private,2,11/1/2011,2011.833333,143,MO,7.25,15196541,3159071,54755,495,2358
29013,2011,4,319764,226713,1695,172,Private,3,12/1/2011,2011.916667,140,MO,7.25,15196541,3159071,54755,495,2393
29021,2011,1,3484398,3377008,46005,198,Private,1,1/1/2011,2011,1345,MO,7.25,345556627,225345796,5142553,691,38341
29021,2011,1,3484398,3377008,46005,198,Private,2,2/1/2011,2011.083333,1342,MO,7.25,345556627,225345796,5142553,691,38377
29021,2011,1,3484398,3377008,46005,198,Private,3,3/1/2011,2011.166667,1379,MO,7.25,345556627,225345796,5142553,691,38719
29021,2011,2,4073268,3502347,49960,220,Private,1,4/1/2011,2011.25,1423,MO,7.25,356506005,115036536,2587271,699,39197
29021,2011,2,4073268,3502347,49960,220,Private,2,5/1/2011,2011.333333,1445,MO,7.25,356506005,115036536,2587271,699,39087
29021,2011,2,4073268,3502347,49960,220,Private,3,6/1/2011,2011.416667,1411,MO,7.25,356506005,115036536,2587271,699,39396
29021,2011,3,4062734,3015326,42594,227,Private,1,7/1/2011,2011.5,1375,MO,7.25,374349931,60669647,1304859,732,39416
29021,2011,3,4062734,3015326,42594,227,Private,2,8/1/2011,2011.583333,1397,MO,7.25,374349931,60669647,1304859,732,39325
29021,2011,3,4062734,3015326,42594,227,Private,3,9/1/2011,2011.666667,1358,MO,7.25,374349931,60669647,1304859,732,39245
29021,2011,4,4004129,2430808,34310,225,Private,1,10/1/2011,2011.75,1350,MO,7.25,383049726,44922090,981502,747,39230
29021,2011,4,4004129,2430808,34310,225,Private,2,11/1/2011,2011.833333,1381,MO,7.25,383049726,44922090,981502,747,39498
29021,2011,4,4004129,2430808,34310,225,Private,3,12/1/2011,2011.916667,1368,MO,7.25,383049726,44922090,981502,747,39660
29037,2011,1,2657670,2553070,30644,220,Private,1,1/1/2011,2011,940,MO,7.25,118893246,99684892,2188736,540,16853
29037,2011,1,2657670,2553070,30644,220,Private,2,2/1/2011,2011.083333,904,MO,7.25,118893246,99684892,2188736,540,16757
29037,2011,1,2657670,2553070,30644,220,Private,3,3/1/2011,2011.166667,944,MO,7.25,118893246,99684892,2188736,540,17176
29037,2011,2,2890519,2385848,28265,223,Private,1,4/1/2011,2011.25,952,MO,7.25,125576666,63450773,1455657,542,17707
29037,2011,2,2890519,2385848,28265,223,Private,2,5/1/2011,2011.333333,1011,MO,7.25,125576666,63450773,1455657,542,18000
29037,2011,2,2890519,2385848,28265,223,Private,3,6/1/2011,2011.416667,1029,MO,7.25,125576666,63450773,1455657,542,17800
29037,2011,3,3016314,2040373,24025,238,Private,1,7/1/2011,2011.5,994,MO,7.25,135236803,37285566,832703,581,17776
29037,2011,3,3016314,2040373,24025,238,Private,2,8/1/2011,2011.583333,978,MO,7.25,135236803,37285566,832703,581,17826
29037,2011,3,3016314,2040373,24025,238,Private,3,9/1/2011,2011.666667,952,MO,7.25,135236803,37285566,832703,581,18121
29037,2011,4,2816621,1586468,19892,228,Private,1,10/1/2011,2011.75,956,MO,7.25,136330861,25580723,608347,585,17968
29037,2011,4,2816621,1586468,19892,228,Private,2,11/1/2011,2011.833333,968,MO,7.25,136330861,25580723,608347,585,17963
29037,2011,4,2816621,1586468,19892,228,Private,3,12/1/2011,2011.916667,931,MO,7.25,136330861,25580723,608347,585,17808
29047,2011,1,8125663,7900387,89084,231,Private,1,1/1/2011,2011,2685,MO,7.25,809345774,539046243,13116217,869,71071
29047,2011,1,8125663,7900387,89084,231,Private,2,2/1/2011,2011.083333,2675,MO,7.25,809345774,539046243,13116217,869,71394
29047,2011,1,8125663,7900387,89084,231,Private,3,3/1/2011,2011.166667,2748,MO,7.25,809345774,539046243,13116217,869,72531
29047,2011,2,9309883,7769680,89759,242,Private,1,4/1/2011,2011.25,2877,MO,7.25,808894357,217128224,4576472,830,74120
29047,2011,2,9309883,7769680,89759,242,Private,2,5/1/2011,2011.333333,3007,MO,7.25,808894357,217128224,4576472,830,74832
29047,2011,2,9309883,7769680,89759,242,Private,3,6/1/2011,2011.416667,3003,MO,7.25,808894357,217128224,4576472,830,75867
29047,2011,3,9901198,7076024,80292,256,Private,1,7/1/2011,2011.5,3002,MO,7.25,813948471,125468467,2603945,842,75264
29047,2011,3,9901198,7076024,80292,256,Private,2,8/1/2011,2011.583333,3013,MO,7.25,813948471,125468467,2603945,842,73014
29047,2011,3,9901198,7076024,80292,256,Private,3,9/1/2011,2011.666667,2902,MO,7.25,813948471,125468467,2603945,842,74792
29047,2011,4,9456536,5375852,65866,247,Private,1,10/1/2011,2011.75,2928,MO,7.25,869759833,88177647,1899797,903,74341
29047,2011,4,9456536,5375852,65866,247,Private,2,11/1/2011,2011.833333,2948,MO,7.25,869759833,88177647,1899797,903,73911
29047,2011,4,9456536,5375852,65866,247,Private,3,12/1/2011,2011.916667,2962,MO,7.25,869759833,88177647,1899797,903,74027
29095,2011,1,29202973,28275077,404093,239,Private,1,1/1/2011,2011,9354,MO,7.25,3231305089,1946158990,43990465,904,273599
29095,2011,1,29202973,28275077,404093,239,Private,2,2/1/2011,2011.083333,9281,MO,7.25,3231305089,1946158990,43990465,904,273782
29095,2011,1,29202973,28275077,404093,239,Private,3,3/1/2011,2011.166667,9572,MO,7.25,3231305089,1946158990,43990465,904,277646
29095,2011,2,32347171,26942074,384686,250,Private,1,4/1/2011,2011.25,9741,MO,7.25,3101514177,779948179,18529546,854,278724
29095,2011,2,32347171,26942074,384686,250,Private,2,5/1/2011,2011.333333,10000,MO,7.25,3101514177,779948179,18529546,854,279120
29095,2011,2,32347171,26942074,384686,250,Private,3,6/1/2011,2011.416667,10151,MO,7.25,3101514177,779948179,18529546,854,279922
29095,2011,3,34000987,23333937,330745,261,Private,1,7/1/2011,2011.5,10050,MO,7.25,3350282315,433223814,10161245,916,280613
29095,2011,3,34000987,23333937,330745,261,Private,2,8/1/2011,2011.583333,10053,MO,7.25,3350282315,433223814,10161245,916,282486
29095,2011,3,34000987,23333937,330745,261,Private,3,9/1/2011,2011.666667,9942,MO,7.25,3350282315,433223814,10161245,916,280646
29095,2011,4,33102048,18117754,260060,253,Private,1,10/1/2011,2011.75,10079,MO,7.25,3557912514,319712012,7673592,964,282388
29095,2011,4,33102048,18117754,260060,253,Private,2,11/1/2011,2011.833333,10105,MO,7.25,3557912514,319712012,7673592,964,284703
29095,2011,4,33102048,18117754,260060,253,Private,3,12/1/2011,2011.916667,9997,MO,7.25,3557912514,319712012,7673592,964,284291
29097,2011,1,4902495,4779322,56133,207,Private,1,1/1/2011,2011,1792,MO,7.25,421191641,317779299,6412318,658,49199
29097,2011,1,4902495,4779322,56133,207,Private,2,2/1/2011,2011.083333,1790,MO,7.25,421191641,317779299,6412318,658,48978
29097,2011,1,4902495,4779322,56133,207,Private,3,3/1/2011,2011.166667,1880,MO,7.25,421191641,317779299,6412318,658,49544
29097,2011,2,5297971,4530309,55202,203,Private,1,4/1/2011,2011.25,1956,MO,7.25,403985673,159387402,3335150,624,49811
29097,2011,2,5297971,4530309,55202,203,Private,2,5/1/2011,2011.333333,1979,MO,7.25,403985673,159387402,3335150,624,49729
29097,2011,2,5297971,4530309,55202,203,Private,3,6/1/2011,2011.416667,2095,MO,7.25,403985673,159387402,3335150,624,49748
29097,2011,3,5711502,4221992,50528,222,Private,1,7/1/2011,2011.5,1986,MO,7.25,432225812,86412072,1821249,678,48872
29097,2011,3,5711502,4221992,50528,222,Private,2,8/1/2011,2011.583333,1953,MO,7.25,432225812,86412072,1821249,678,48944
29097,2011,3,5711502,4221992,50528,222,Private,3,9/1/2011,2011.666667,2010,MO,7.25,432225812,86412072,1821249,678,49328
29097,2011,4,5501872,3485609,44112,212,Private,1,10/1/2011,2011.75,1996,MO,7.25,440232891,63114246,1334008,675,49544
29097,2011,4,5501872,3485609,44112,212,Private,2,11/1/2011,2011.833333,2005,MO,7.25,440232891,63114246,1334008,675,50327
29097,2011,4,5501872,3485609,44112,212,Private,3,12/1/2011,2011.916667,1988,MO,7.25,440232891,63114246,1334008,675,50612
29145,2011,1,1637620,1561346,15457,227,Private,1,1/1/2011,2011,539,MO,7.25,129826655,75259623,1773532,619,16174
29145,2011,1,1637620,1561346,15457,227,Private,2,2/1/2011,2011.083333,546,MO,7.25,129826655,75259623,1773532,619,16030
29145,2011,1,1637620,1561346,15457,227,Private,3,3/1/2011,2011.166667,579,MO,7.25,129826655,75259623,1773532,619,16233
29145,2011,2,1792789,1508431,14886,222,Private,1,4/1/2011,2011.25,587,MO,7.25,140572311,46367694,1062131,661,16277
29145,2011,2,1792789,1508431,14886,222,Private,2,5/1/2011,2011.333333,621,MO,7.25,140572311,46367694,1062131,661,16306
29145,2011,2,1792789,1508431,14886,222,Private,3,6/1/2011,2011.416667,657,MO,7.25,140572311,46367694,1062131,661,16502
29145,2011,3,1922227,1339283,12316,232,Private,1,7/1/2011,2011.5,621,MO,7.25,151013025,26709397,565690,701,16410
29145,2011,3,1922227,1339283,12316,232,Private,2,8/1/2011,2011.583333,650,MO,7.25,151013025,26709397,565690,701,16664
29145,2011,3,1922227,1339283,12316,232,Private,3,9/1/2011,2011.666667,640,MO,7.25,151013025,26709397,565690,701,16621
29145,2011,4,1776196,996438,9733,245,Private,1,10/1/2011,2011.75,563,MO,7.25,147250781,16912301,365403,682,16620
29145,2011,4,1776196,996438,9733,245,Private,2,11/1/2011,2011.833333,561,MO,7.25,147250781,16912301,365403,682,16600
29145,2011,4,1776196,996438,9733,245,Private,3,12/1/2011,2011.916667,552,MO,7.25,147250781,16912301,365403,682,16639
29165,2011,1,3310569,3238071,43942,217,Private,1,1/1/2011,2011,1102,MO,7.25,328519281,237489141,5166605,728,34506
29165,2011,1,3310569,3238071,43942,217,Private,2,2/1/2011,2011.083333,1141,MO,7.25,328519281,237489141,5166605,728,34803
29165,2011,1,3310569,3238071,43942,217,Private,3,3/1/2011,2011.166667,1276,MO,7.25,328519281,237489141,5166605,728,34856
29165,2011,2,4298147,3655555,53465,257,Private,1,4/1/2011,2011.25,1286,MO,7.25,358147500,117431384,2616201,774,35374
29165,2011,2,4298147,3655555,53465,257,Private,2,5/1/2011,2011.333333,1294,MO,7.25,358147500,117431384,2616201,774,35446
29165,2011,2,4298147,3655555,53465,257,Private,3,6/1/2011,2011.416667,1273,MO,7.25,358147500,117431384,2616201,774,35960
29165,2011,3,4175811,2874120,40508,261,Private,1,7/1/2011,2011.5,1250,MO,7.25,342781462,58206142,1185337,738,35838
29165,2011,3,4175811,2874120,40508,261,Private,2,8/1/2011,2011.583333,1241,MO,7.25,342781462,58206142,1185337,738,35848
29165,2011,3,4175811,2874120,40508,261,Private,3,9/1/2011,2011.666667,1206,MO,7.25,342781462,58206142,1185337,738,35498
29165,2011,4,3893297,2149105,29867,240,Private,1,10/1/2011,2011.75,1229,MO,7.25,369518421,41290473,857619,806,35004
29165,2011,4,3893297,2149105,29867,240,Private,2,11/1/2011,2011.833333,1245,MO,7.25,369518421,41290473,857619,806,35131
29165,2011,4,3893297,2149105,29867,240,Private,3,12/1/2011,2011.916667,1273,MO,7.25,369518421,41290473,857619,806,35705
20005,2012,1,561727,521144,12599,209,Private,1,1/1/2012,2012,200,KS,7.25,42483918,24309463,1282469,659,4925
20005,2012,1,561727,521144,12599,209,Private,2,2/1/2012,2012.083333,210,KS,7.25,42483918,24309463,1282469,659,4947
20005,2012,1,561727,521144,12599,209,Private,3,3/1/2012,2012.166667,210,KS,7.25,42483918,24309463,1282469,659,5009
20005,2012,2,677414,474118,11941,222,Private,1,4/1/2012,2012.25,229,KS,7.25,42183370,7312185,286087,635,5136
20005,2012,2,677414,474118,11941,222,Private,2,5/1/2012,2012.333333,241,KS,7.25,42183370,7312185,286087,635,5067
20005,2012,2,677414,474118,11941,222,Private,3,6/1/2012,2012.416667,233,KS,7.25,42183370,7312185,286087,635,5135
20005,2012,3,636370,300534,7779,219,Private,1,7/1/2012,2012.5,220,KS,7.25,44095498,4433738,177183,674,5057
20005,2012,3,636370,300534,7779,219,Private,2,8/1/2012,2012.583333,226,KS,7.25,44095498,4433738,177183,674,5010
20005,2012,3,636370,300534,7779,219,Private,3,9/1/2012,2012.666667,226,KS,7.25,44095498,4433738,177183,674,5040
20005,2012,4,638520,231997,6339,219,Private,1,10/1/2012,2012.75,227,KS,7.25,45375523,3480216,135131,689,5092
20005,2012,4,638520,231997,6339,219,Private,2,11/1/2012,2012.833333,222,KS,7.25,45375523,3480216,135131,689,5060
20005,2012,4,638520,231997,6339,219,Private,3,12/1/2012,2012.916667,223,KS,7.25,45375523,3480216,135131,689,5056
20011,2012,1,528062,447797,14584,185,Private,1,1/1/2012,2012,215,KS,7.25,34043026,21130622,905576,585,4462
20011,2012,1,528062,447797,14584,185,Private,2,2/1/2012,2012.083333,217,KS,7.25,34043026,21130622,905576,585,4416
20011,2012,1,528062,447797,14584,185,Private,3,3/1/2012,2012.166667,227,KS,7.25,34043026,21130622,905576,585,4546
20011,2012,2,601509,457740,15415,187,Private,1,4/1/2012,2012.25,238,KS,7.25,35268633,7099386,309156,595,4511
20011,2012,2,601509,457740,15415,187,Private,2,5/1/2012,2012.333333,249,KS,7.25,35268633,7099386,309156,595,4546
20011,2012,2,601509,457740,15415,187,Private,3,6/1/2012,2012.416667,254,KS,7.25,35268633,7099386,309156,595,4611
20011,2012,3,510751,304164,10841,159,Private,1,7/1/2012,2012.5,239,KS,7.25,34072201,4362998,187799,577,4485
20011,2012,3,510751,304164,10841,159,Private,2,8/1/2012,2012.583333,235,KS,7.25,34072201,4362998,187799,577,4502
20011,2012,3,510751,304164,10841,159,Private,3,9/1/2012,2012.666667,268,KS,7.25,34072201,4362998,187799,577,4645
20011,2012,4,624358,332289,11130,197,Private,1,10/1/2012,2012.75,252,KS,7.25,37433277,3889439,176054,625,4600
20011,2012,4,624358,332289,11130,197,Private,2,11/1/2012,2012.833333,240,KS,7.25,37433277,3889439,176054,625,4617
20011,2012,4,624358,332289,11130,197,Private,3,12/1/2012,2012.916667,239,KS,7.25,37433277,3889439,176054,625,4610
20021,2012,1,500080,485549,19326,206,Private,1,1/1/2012,2012,192,KS,7.25,37498206,25089670,1112652,658,4403
20021,2012,1,500080,485549,19326,206,Private,2,2/1/2012,2012.083333,180,KS,7.25,37498206,25089670,1112652,658,4384
20021,2012,1,500080,485549,19326,206,Private,3,3/1/2012,2012.166667,188,KS,7.25,37498206,25089670,1112652,658,4363
20021,2012,2,536847,434936,17331,211,Private,1,4/1/2012,2012.25,192,KS,7.25,36570994,7276435,309493,647,4369
20021,2012,2,536847,434936,17331,211,Private,2,5/1/2012,2012.333333,199,KS,7.25,36570994,7276435,309493,647,4299
20021,2012,2,536847,434936,17331,211,Private,3,6/1/2012,2012.416667,197,KS,7.25,36570994,7276435,309493,647,4383
20021,2012,3,565333,346750,13776,210,Private,1,7/1/2012,2012.5,196,KS,7.25,36965780,3977572,172958,644,4428
20021,2012,3,565333,346750,13776,210,Private,2,8/1/2012,2012.583333,213,KS,7.25,36965780,3977572,172958,644,4439
20021,2012,3,565333,346750,13776,210,Private,3,9/1/2012,2012.666667,212,KS,7.25,36965780,3977572,172958,644,4369
20021,2012,4,507738,228279,8018,184,Private,1,10/1/2012,2012.75,215,KS,7.25,39976762,3344239,139264,700,4380
20021,2012,4,507738,228279,8018,184,Private,2,11/1/2012,2012.833333,208,KS,7.25,39976762,3344239,139264,700,4382
